Log Number,Bus Voltage (V),Shunt Voltage (mV),Load Current (mA),Load Voltage (V),Power (mW),DateTime
0,3.763999939,-0.170000002,17.70000076,3.763829938998,26,2022/03/27 18:09:52
1,3.776000023,1.559999943,5.599999905,3.7775600229429998,30,2022/03/27 18:10:07
2,3.756000042,0.75,15,3.756750042,86,2022/03/27 18:10:22
3,3.776000023,0.899999976,36,3.776900022976,56,2022/03/27 18:10:37
4,3.772000074,1.899999976,12.69999981,3.7739000739760002,58,2022/03/27 18:10:52
5,3.763999939,2.450000048,11.69999981,3.766449939048,68,2022/03/27 18:11:07
6,3.756000042,1.360000014,11.19999981,3.757360042014,88,2022/03/27 18:11:22
7,3.767999887,2.109999895,10.69999981,3.7701098868950003,68,2022/03/27 18:11:38
8,3.767999887,0.839999974,19.79999924,3.7688398869740003,52,2022/03/27 18:11:52
9,3.767999887,1.629999995,12.30000019,3.7696298869950002,62,2022/03/27 18:12:07
10,3.767999887,1.440000057,12.80000019,3.769439887057,124,2022/03/27 18:12:22
11,3.752000093,3.220000029,25.5,3.755220093029,102,2022/03/27 18:12:37
12,3.747999907,2.279999971,33.59999847,3.750279906971,118,2022/03/27 18:12:53
13,3.756000042,2.039999962,37,3.7580400419620004,98,2022/03/27 18:13:10
14,3.763999939,2.720000029,21.60000038,3.766719939029,134,2022/03/27 18:13:22
15,3.75999999,3.359999895,32.29999924,3.7633599898949996,132,2022/03/27 18:13:37
16,3.756000042,2.700000048,33,3.7587000420480003,104,2022/03/27 18:13:52
17,3.75999999,2.369999886,38.29999924,3.762369989886,102,2022/03/27 18:14:07
18,3.763999939,2.549999952,22.79999924,3.766549938952,122,2022/03/27 18:14:22
19,3.743999958,1.570000052,19.29999924,3.7455699580519997,92,2022/03/27 18:14:37
20,3.763999939,1.440000057,30.70000076,3.765439939057,88,2022/03/27 18:14:52
21,3.756000042,2.849999905,18.79999924,3.758850041905,102,2022/03/27 18:15:07
22,3.711999893,0.610000014,18.29999924,3.712609893014,76,2022/03/27 18:15:22
23,3.680000067,2.150000095,8.699999809,3.682150067095,56,2022/03/27 18:15:37
24,3.700000048,0.730000019,19.89999962,3.700730048019,56,2022/03/27 18:15:53
25,3.700000048,1.710000038,6.599999905,3.701710048038,46,2022/03/27 18:16:10
26,3.711999893,0.670000017,12.60000038,3.7126698930170003,46,2022/03/27 18:16:22
27,3.687999964,1.970000029,7.599999905,3.689969964029,52,2022/03/27 18:16:37
28,3.703999996,2.079999924,7.400000095,3.706079995924,66,2022/03/27 18:16:53
29,3.703999996,0.720000029,21.39999962,3.704719996029,50,2022/03/27 18:17:07
30,3.707999945,0.74000001,9.100000381,3.70873994501,98,2022/03/27 18:17:22
31,3.711999893,2.109999895,8.100000381,3.7141098928950003,62,2022/03/27 18:17:44
32,3.71600008,0.779999971,24.20000076,3.716780079971,50,2022/03/27 18:17:52
33,3.703999996,1.049999952,30.60000038,3.705049995952,66,2022/03/27 18:18:07
34,3.711999893,0.800000012,7.900000095,3.7127998930120003,102,2022/03/27 18:18:22
35,3.700000048,0.819999993,7,3.700820047993,102,2022/03/27 18:18:37
36,3.71600008,2.180000067,10.30000019,3.718180080067,68,2022/03/27 18:18:54
37,3.71600008,1.120000005,16.89999962,3.717120080005,46,2022/03/27 18:19:07
38,3.707999945,-3.339999914,-26.39999962,3.704659945086,92,2022/03/27 18:19:22
